standard_time_label,standard_time_ms,master_category,master_time_adjustment_ms,,,,,
10:30,630000,MasB,6000,,,,,
10:30,630000,MasC,18000,,,,,
10:30,630000,MasD,35000,,,,,
10:30,630000,MasE,50000,,,,,
10:30,630000,MasF,69000,,,,,
10:30,630000,MasG,89000,,,,,
10:30,630000,MasH,111000,,,,,
10:30,630000,MasI,135000,,,,,
10:30,630000,MasJ,159000,,,,,
10:31,631000,MasB,6000,,,,,
10:31,631000,MasC,18000,,,,,
10:31,631000,MasD,35000,,,,,
10:31,631000,MasE,50000,,,,,
10:31,631000,MasF,69000,,,,,
10:31,631000,MasG,89000,,,,,
10:31,631000,MasH,111000,,,,,
10:31,631000,MasI,135000,,,,,
10:31,631000,MasJ,159000,,,,,
10:32,632000,MasB,6000,,,,,
10:32,632000,MasC,18000,,,,,
10:32,632000,MasD,35000,,,,,
10:32,632000,MasE,50000,,,,,
10:32,632000,MasF,69000,,,,,
10:32,632000,MasG,89000,,,,,
10:32,632000,MasH,111000,,,,,
10:32,632000,MasI,135000,,,,,
10:32,632000,MasJ,159000,,,,,
10:33,633000,MasB,6000,,,,,
10:33,633000,MasC,18000,,,,,
10:33,633000,MasD,35000,,,,,
10:33,633000,MasE,50000,,,,,
10:33,633000,MasF,69000,,,,,
10:33,633000,MasG,89000,,,,,
10:33,633000,MasH,111000,,,,,
10:33,633000,MasI,135000,,,,,
10:33,633000,MasJ,160000,,,,,
10:34,634000,MasB,6000,,,,,
10:34,634000,MasC,18000,,,,,
10:34,634000,MasD,35000,,,,,
10:34,634000,MasE,50000,,,,,
10:34,634000,MasF,69000,,,,,
10:34,634000,MasG,89000,,,,,
10:34,634000,MasH,111000,,,,,
10:34,634000,MasI,136000,,,,,
10:34,634000,MasJ,160000,,,,,
10:35,635000,MasB,6000,,,,,
10:35,635000,MasC,18000,,,,,
10:35,635000,MasD,35000,,,,,
10:35,635000,MasE,50000,,,,,
10:35,635000,MasF,69000,,,,,
10:35,635000,MasG,89000,,,,,
10:35,635000,MasH,112000,,,,,
10:35,635000,MasI,136000,,,,,
10:35,635000,MasJ,160000,,,,,
10:36,636000,MasB,6000,,,,,
10:36,636000,MasC,18000,,,,,
10:36,636000,MasD,35000,,,,,
10:36,636000,MasE,50000,,,,,
10:36,636000,MasF,69000,,,,,
10:36,636000,MasG,89000,,,,,
10:36,636000,MasH,112000,,,,,
10:36,636000,MasI,136000,,,,,
10:36,636000,MasJ,160000,,,,,
10:37,637000,MasB,6000,,,,,
10:37,637000,MasC,18000,,,,,
10:37,637000,MasD,35000,,,,,
10:37,637000,MasE,50000,,,,,
10:37,637000,MasF,69000,,,,,
10:37,637000,MasG,89000,,,,,
10:37,637000,MasH,112000,,,,,
10:37,637000,MasI,136000,,,,,
10:37,637000,MasJ,160000,,,,,
10:38,638000,MasB,6000,,,,,
10:38,638000,MasC,18000,,,,,
10:38,638000,MasD,35000,,,,,
10:38,638000,MasE,51000,,,,,
10:38,638000,MasF,69000,,,,,
10:38,638000,MasG,89000,,,,,
10:38,638000,MasH,112000,,,,,
10:38,638000,MasI,136000,,,,,
10:38,638000,MasJ,160000,,,,,
10:39,639000,MasB,6000,,,,,
10:39,639000,MasC,18000,,,,,
10:39,639000,MasD,35000,,,,,
10:39,639000,MasE,51000,,,,,
10:39,639000,MasF,69000,,,,,
10:39,639000,MasG,89000,,,,,
10:39,639000,MasH,112000,,,,,
10:39,639000,MasI,136000,,,,,
10:39,639000,MasJ,161000,,,,,
10:40,640000,MasB,6000,,,,,
10:40,640000,MasC,18000,,,,,
10:40,640000,MasD,35000,,,,,
10:40,640000,MasE,51000,,,,,
10:40,640000,MasF,69000,,,,,
10:40,640000,MasG,89000,,,,,
10:40,640000,MasH,112000,,,,,
10:40,640000,MasI,136000,,,,,
10:40,640000,MasJ,161000,,,,,
10:41,641000,MasB,6000,,,,,
10:41,641000,MasC,18000,,,,,
10:41,641000,MasD,35000,,,,,
10:41,641000,MasE,51000,,,,,
10:41,641000,MasF,69000,,,,,
10:41,641000,MasG,89000,,,,,
10:41,641000,MasH,112000,,,,,
10:41,641000,MasI,136000,,,,,
10:41,641000,MasJ,161000,,,,,
10:42,642000,MasB,6000,,,,,
10:42,642000,MasC,18000,,,,,
10:42,642000,MasD,35000,,,,,
10:42,642000,MasE,51000,,,,,
10:42,642000,MasF,70000,,,,,
10:42,642000,MasG,90000,,,,,
10:42,642000,MasH,112000,,,,,
10:42,642000,MasI,137000,,,,,
10:42,642000,MasJ,161000,,,,,
10:43,643000,MasB,6000,,,,,
10:43,643000,MasC,18000,,,,,
10:43,643000,MasD,35000,,,,,
